mnis_id,given_name,family_name,display_name,party_mnis_id,party_name,party_membership_start_date,party_membership_end_date
172,Diane,Abbott,Ms Diane Abbott,15,Labour,2017-06-08,2019-11-06
4212,Deborah,Abrahams,Debbie Abrahams,15,Labour,2017-06-08,2019-11-06
663,Allender,Adams,Allen Adams,15,Labour,1900-01-01,NA
645,Gerard,Adams,Mr Gerry Adams,30,Sinn Féin,1983-06-09,NA
631,Katherine,Adams,Baroness Adams of Craigielea,15,Labour,2005-06-28,NA
4057,Nigel,Adams,Nigel Adams,4,Conservative,2017-06-08,2019-11-06
4639,Abimbola,Afolami,Bim Afolami,4,Conservative,2017-06-08,2019-11-06
1586,Adam,Afriyie,Adam Afriyie,4,Conservative,2017-06-08,2019-11-06
537,Nicholas,Ainger,Nick Ainger,15,Labour,1992-04-09,NA
99,Peter,Ainsworth,Mr Peter Ainsworth,4,Conservative,1992-04-09,NA
735,Jonathan,Aitken,Jonathan Aitken,4,Conservative,1900-01-01,NA
4069,Peter,Aldous,Peter Aldous,4,Conservative,2017-06-08,2019-11-06
4138,Rushanara,Ali,Rushanara Ali,15,Labour,2017-06-08,2019-11-06
397,Richard,Allan,Lord Allan of Hallam,17,Liberal Democrat,2010-07-22,NA
4411,Lucy,Allan,Lucy Allan,4,Conservative,2017-06-08,2019-11-06
730,Rupert,Allason,Rupert Allason,4,Conservative,1994-07-01,NA
4516,Heidi-Suzanne,Allen,Heidi Allen,4,Conservative,2017-06-08,2019-02-20
4573,Rosena,Allin-Khan,Dr Rosena Allin-Khan,15,Labour,2017-06-08,2019-11-06
4667,Michael,Amesbury,Mike Amesbury,15,Labour,2017-06-08,2019-11-06
44,David,Amess,Sir David Amess,4,Conservative,2017-06-08,2019-11-06
1212,Alan,Amos,Mr Alan Amos,4,Conservative,1987-06-11,NA
259,Michael,Ancram,The Marquess of Lothian,4,Conservative,2010-11-22,NA
475,Janet,Anderson,Janet Anderson,15,Labour,1992-04-09,NA
568,Donald,Anderson,Lord Anderson of Swansea,15,Labour,2005-06-28,NA
4032,Stuart,Andrew,Stuart Andrew,4,Conservative,2017-06-08,2019-11-06
4623,Antonia,Antoniazzi,Tonia Antoniazzi,15,Labour,2017-06-08,2019-11-06
56,James,Arbuthnot,Lord Arbuthnot of Edrom,4,Conservative,2015-10-01,NA
4362,Edward,Argar,Edward Argar,4,Conservative,2017-06-08,2019-11-06
4150,Hilary,Armstrong,Baroness Armstrong of Hill Top,15,Labour,1987-06-11,NA
4150,Hilary,Armstrong,Baroness Armstrong of Hill Top,15,Labour,2010-06-18,NA
1205,Jacques,Arnold,Mr Jacques Arnold,4,Conservative,1900-01-01,NA
973,Thomas,Arnold,Sir Thomas Arnold,4,Conservative,1900-01-01,NA
742,David,Ashby,David Ashby,4,Conservative,1900-01-01,NA
358,Joseph,Ashton,Mr Joe Ashton,15,Labour,1968-10-31,NA
4244,Jonathan,Ashworth,Jonathan Ashworth,15,Labour,2017-06-08,2019-11-06
743,Jack,Aspinwall,Jack Aspinwall,4,Conservative,1900-01-01,NA
224,Candice,Atherton,Ms Candy Atherton,15,Labour,1997-05-01,NA
970,Humphrey,Atkins,Sir Humphrey Atkins,4,Conservative,1900-01-01,NA
975,Robert,Atkins,Sir Robert Atkins,4,Conservative,1900-01-01,NA
1613,Ronald,Atkins,Ronald Atkins,15,Labour,1900-01-01,NA
284,Charlotte,Atkins,Charlotte Atkins,15,Labour,1997-05-01,NA
4399,Victoria,Atkins,Victoria Atkins,4,Conservative,2017-06-08,2019-11-06
972,Norman,Atkinson,Norman Atkinson,15,Labour,1900-01-01,NA
515,Peter,Atkinson,Mr Peter Atkinson,4,Conservative,1992-04-09,NA
168,John,Austin,John Austin,15,Labour,1992-04-09,NA
1511,Ian,Austin,Ian Austin,15,Labour,2017-06-08,2019-02-22
1451,Richard,Bacon,Mr Richard Bacon,4,Conservative,2017-06-08,2019-11-06
4597,Olukemi,Badenoch,Kemi Badenoch,4,Conservative,2017-06-08,2019-11-06
320,Adrian,Bailey,Mr Adrian Bailey,15,Labour,2017-06-08,2019-11-06
1445,Vera,Baird,Vera Baird,15,Labour,2001-06-07,NA
1028,Kenneth,Baker,Lord Baker of Dorking,4,Conservative,1997-06-16,NA
4064,Steven,Baker,Mr Steve Baker,4,Conservative,2017-06-08,2019-11-06
4107,Harriett,Baldwin,Harriett Baldwin,4,Conservative,2017-06-08,2019-11-06
256,Jacqueline,Ballard,Jackie Ballard,17,Liberal Democrat,1997-05-01,NA
1084,Robert,Banks,Robert Banks,4,Conservative,1974-02-28,NA
1090,Matthew,Banks,Matthew Banks,4,Conservative,1992-04-09,NA
4095,Stephen,Barclay,Steve Barclay,4,Conservative,2017-06-08,2019-11-06
4486,Hannah,Bardell,Hannah Bardell,29,Scottish National Party,2017-06-08,2019-11-06
1389,Gregory,Barker,Lord Barker of Battle,4,Conservative,2015-10-12,NA
1532,Celia,Barlow,Ms Celia Barlow,15,Labour,2005-05-05,NA
1615,Michael,Barnes,Michael  Barnes,15,Labour,1900-01-01,NA
331,Harold,Barnes,Mr Harry Barnes,15,Labour,1987-06-11,NA
682,Rosemary,Barnes,Mrs Rosie Barnes,12,Independent SDP,1990-06-03,NA
1038,Nicolas,Barnett,Guy Barnett,15,Labour,1962-11-22,NA
1390,John,Baron,Mr John Baron,4,Conservative,2017-06-08,2019-11-06
1412,John,Barrett,John Barrett,17,Liberal Democrat,2001-06-07,NA
392,Kevin,Barron,Sir Kevin Barron,15,Labour,2017-06-08,2019-11-06
1616,Alfred,Bates,Alfred Bates,15,Labour,1900-01-01,NA
1091,Michael,Bates,Lord Bates,4,Conservative,2008-06-30,NA
745,Spencer,Batiste,Spencer Batiste,4,Conservative,1900-01-01,NA
417,John,Battle,John Battle,15,Labour,1987-06-11,NA
144,Christopher,Beard,Mr Nigel Beard,15,Labour,1997-05-01,NA
3910,Guto,Bebb,Guto Bebb,4,Conservative,2017-06-08,2019-09-04
328,Margaret,Beckett,Margaret Beckett,15,Labour,2017-06-08,2019-11-06
646,John,Beggs,Mr Roy Beggs,38,Ulster Unionist Party,1983-06-09,NA
4697,Órfhlaith,Begley,Órfhlaith Begley,30,Sinn Féin,2018-05-03,2019-11-06
